IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.178.158.30,443,443,TRUE,FRA,Europe,Frankfurt,190,8.45
158.101.211.29,443,443,TRUE,FRA,Europe,Frankfurt,198,8.45
129.159.202.181,443,443,TRUE,FRA,Europe,Frankfurt,165,8.45
141.147.54.4,443,443,TRUE,FRA,Europe,Frankfurt,189,8.44
89.168.89.111,443,443,TRUE,FRA,Europe,Frankfurt,187,8.4
141.148.237.167,443,443,TRUE,FRA,Europe,Frankfurt,175,8.33
141.147.78.234,443,443,TRUE,FRA,Europe,Frankfurt,194,8.31
79.72.67.157,443,443,TRUE,FRA,Europe,Frankfurt,182,8.31
158.101.203.37,443,443,TRUE,FRA,Europe,Frankfurt,182,8.3
158.178.147.16,443,443,TRUE,FRA,Europe,Frankfurt,207,8.28
89.168.52.251,8443,443,TRUE,CDG,Europe,Paris,163,8.26
193.122.98.37,443,443,TRUE,SIN,Asia Pacific,Singapore,208,8.25
158.180.15.111,443,443,TRUE,FRA,Europe,Frankfurt,200,8.21
193.122.98.37,443,443,TRUE,SIN,Asia Pacific,Singapore,216,8.2
130.61.64.255,443,443,TRUE,FRA,Europe,Frankfurt,167,8.16
130.61.109.6,8443,443,TRUE,FRA,Europe,Frankfurt,168,8.16
79.72.70.68,443,443,TRUE,FRA,Europe,Frankfurt,184,8.11
140.238.81.39,443,443,TRUE,FRA,Europe,Frankfurt,184,8.08
141.148.234.231,443,443,TRUE,FRA,Europe,Frankfurt,203,8.05
130.61.97.10,443,443,TRUE,FRA,Europe,Frankfurt,167,8.05
141.147.75.44,443,443,TRUE,FRA,Europe,Frankfurt,189,8.02
141.147.27.72,443,443,TRUE,FRA,Europe,Frankfurt,172,8.02
158.178.158.223,443,443,TRUE,FRA,Europe,Frankfurt,193,8
141.147.49.246,443,443,TRUE,FRA,Europe,Frankfurt,193,7.97
130.162.155.121,443,443,TRUE,SIN,Asia Pacific,Singapore,205,7.91
217.142.138.53,443,443,TRUE,SIN,Asia Pacific,Singapore,208,7.9
138.2.147.212,443,443,TRUE,FRA,Europe,Frankfurt,188,7.88
130.162.189.9,443,443,TRUE,FRA,Europe,Frankfurt,193,7.88
158.178.147.159,443,443,TRUE,FRA,Europe,Frankfurt,157,7.86
152.70.61.51,443,443,TRUE,FRA,Europe,Frankfurt,188,7.82
141.147.108.50,443,443,TRUE,FRA,Europe,Frankfurt,201,7.81
158.180.42.66,443,443,TRUE,FRA,Europe,Frankfurt,183,7.79
141.147.100.27,443,443,TRUE,FRA,Europe,Frankfurt,200,7.77
158.180.15.110,443,443,TRUE,FRA,Europe,Frankfurt,187,7.77
132.226.135.225,443,443,TRUE,FRA,Europe,Frankfurt,176,7.74
150.230.117.157,443,443,TRUE,FRA,Europe,Frankfurt,189,7.73
144.24.171.82,443,443,TRUE,FRA,Europe,Frankfurt,209,7.72
141.147.0.149,443,443,TRUE,FRA,Europe,Frankfurt,187,7.71
89.168.72.229,443,443,TRUE,FRA,Europe,Frankfurt,168,7.67
79.72.78.129,443,443,TRUE,FRA,Europe,Frankfurt,178,7.65
132.145.12.173,443,443,TRUE,FRA,Europe,Frankfurt,179,7.64
130.61.67.51,443,443,TRUE,FRA,Europe,Frankfurt,187,7.61
130.162.178.205,443,443,TRUE,FRA,Europe,Frankfurt,191,7.59
158.178.152.102,443,443,TRUE,FRA,Europe,Frankfurt,195,7.58
89.168.107.118,443,443,TRUE,FRA,Europe,Frankfurt,167,7.57
141.147.69.197,443,443,TRUE,FRA,Europe,Frankfurt,185,7.56
89.168.68.161,443,443,TRUE,FRA,Europe,Frankfurt,173,7.52
130.162.224.243,443,443,TRUE,FRA,Europe,Frankfurt,178,7.49
89.168.81.62,443,443,TRUE,FRA,Europe,Frankfurt,169,7.46
130.61.109.6,2096,443,TRUE,FRA,Europe,Frankfurt,166,7.41
141.147.108.194,443,443,TRUE,FRA,Europe,Frankfurt,200,7.41
130.162.166.11,443,443,TRUE,FRA,Europe,Frankfurt,177,7.39
84.235.174.57,443,443,TRUE,FRA,Europe,Frankfurt,181,7.39
158.178.146.37,443,443,TRUE,FRA,Europe,Frankfurt,194,7.36
132.145.254.181,443,443,TRUE,FRA,Europe,Frankfurt,178,7.35
152.70.49.179,443,443,TRUE,FRA,Europe,Frankfurt,176,7.34
89.168.88.89,443,443,TRUE,FRA,Europe,Frankfurt,176,7.3
144.24.173.250,2053,443,TRUE,FRA,Europe,Frankfurt,177,7.29
141.148.225.142,443,443,TRUE,AMS,Europe,Amsterdam,186,7.25
84.235.162.93,443,443,TRUE,FRA,Europe,Frankfurt,182,7.23
132.226.131.142,443,443,TRUE,FRA,Europe,Frankfurt,193,7.13
130.162.187.137,443,443,TRUE,FRA,Europe,Frankfurt,173,7.12
141.148.229.73,443,443,TRUE,FRA,Europe,Frankfurt,210,7.06
